Results path;/home/cmshytest/Development/test_irene/PSFEH/gui-for-hybrids-testing-on-crate-systems-PSFEHResultsGUI/PSF_PSFEH26L-000000000FEH_PS_PSFEH26L-000000000_Electron_01-02-21_10h25m53
ADC;127.07722473144531
Hybrid1V00;1003.1769409179688
Hybrid1V25;1239.0029296875
Hybrid1V25_out;618.279541015625
Hybrid2V5;2482.8935546875
Hybrid3V3;3230.694091796875
HybridLoadV;3201.368408203125
MPA1V_3;923.753662109375
MPA_1V25A_3;1186.46142578125
MPA_1V25A_4;1195.0146484375
MPA_1V_4;929.8631591796875
Panasonic1V00;935.97265625
PanasonicGround;50.09775161743164
ROH_GND_AMP;51.19746017456055
Ref1V25;1248.778076171875
RefV625;624.3890380859375
TestCardGround;0.0
VDrop1V00;67.69306182861328
VDrop1V25;0.24437928199768066
VDrop2V55;0.0
Hybrid1V00_current;935.97265625
Hybrid1V25_current;828.4457397460938
Hybrid3V30_current;2101.661865234375
12VLineContinuity;1.0
MPAContinuity;1.0
PGLineContinuity;0.0
Temperature;33.79999923706055
MPA Alignment attemp 1;1.0
VCth0;68.0
VCth1;69.0
VCth2;69.0
VCth4;64.0
VCth5;66.0
VCth6;69.0
VCth7;66.0
VCth;67.0
AvgNoiseSSA0;2.7256890662380906
RMSNoiseSSA0;0.28848418120601693
AvgPedeSSA0;11.300346191724142
RMSPedeSSA0;1.31211001614124
StDvPedeSSA0;1.31211001614124
AvgNoiseSSA1;2.9547260741392773
RMSNoiseSSA1;0.4821796035115804
AvgPedeSSA1;7.933461674054464
RMSPedeSSA1;1.0389904984240648
StDvPedeSSA1;1.0389904984240648
AvgNoiseSSA2;2.8443842176663674
RMSNoiseSSA2;0.49852690154976503
AvgPedeSSA2;7.851572402318319
RMSPedeSSA2;1.191276966020029
StDvPedeSSA2;1.191276966020029
AvgNoiseSSA4;4.331282409461769
RMSNoiseSSA4;1.0587893668771962
AvgPedeSSA4;75.11359320622738
RMSPedeSSA4;135.59425266014375
StDvPedeSSA4;135.59425266014375
AvgNoiseSSA5;2.46995574481347
RMSNoiseSSA5;0.811079347142705
AvgPedeSSA5;10.216626763343811
RMSPedeSSA5;1.3018459687493205
StDvPedeSSA5;1.3018459687493205
AvgNoiseSSA6;2.754813334551351
RMSNoiseSSA6;0.6708943941284026
AvgPedeSSA6;8.80705140431722
RMSPedeSSA6;1.1782182343971934
StDvPedeSSA6;1.1782182343971934
AvgNoiseSSA7;2.6197339707537544
RMSNoiseSSA7;0.7071302799205416
AvgPedeSSA7;10.507709928353627
RMSPedeSSA7;1.3341830936640944
StDvPedeSSA7;1.3341830936640944
opens_Even0;0.0
opens_Odd0;0.0
opens_Even1;0.0
opens_Odd1;0.0
opens_Even2;0.0
opens_Odd2;0.0
opens_Even5;0.0
opens_Odd5;0.0
opens_Even6;0.0
opens_Odd6;0.0
opens_Even7;1.0
opens_Odd7;0.0
Shorts_0;0.0
Shorts_1;0.0
Shorts_2;0.0
Shorts_4;0.0
Shorts_5;0.0
Shorts_6;0.0
Shorts_7;0.0
CIC IN bad lines_0xaa;0.0
CIC IN bad lines_0xcc;0.0
CIC IN bad lines_0xff;0.0
CIC IN bad lines_0x0;0.0
TEST RESULT;Bad
Comments;Opens in chip 7
