Results path;/home/cmshytest/Development/test_irene/PSFEH/gui-for-hybrids-testing-on-crate-systems-PSFEHResultsGUI/PSF_PSFEH26L-000000000_1.2.2021-14h15
ADC;130.742919921875
Hybrid1V00;1003.1769409179688
Hybrid1V25;1239.0029296875
Hybrid1V25_out;618.279541015625
Hybrid2V5;2482.8935546875
Hybrid3V3;3230.694091796875
HybridLoadV;3201.368408203125
MPA1V_3;922.5317993164062
MPA_1V25A_3;1186.46142578125
MPA_1V25A_4;1193.792724609375
MPA_1V_4;927.4193725585938
Panasonic1V00;933.52880859375
PanasonicGround;50.09775161743164
ROH_GND_AMP;51.93059539794922
Ref1V25;1248.778076171875
RefV625;623.1671752929688
TestCardGround;0.0
VDrop1V00;69.28152465820312
VDrop1V25;0.24437928199768066
VDrop2V55;0.0
Hybrid1V00_current;935.97265625
Hybrid1V25_current;821.1143798828125
Hybrid3V30_current;2091.88671875
12VLineContinuity;1.0
MPAContinuity;1.0
PGLineContinuity;0.0
Temperature;38.80952453613281
SSA_01_0;1.0
SSA_01_1;1.0
SSA_12_1;2.0
SSA_12_2;2.0
SSA_23_2;2.0
SSA_23_3;2.0
SSA_34_3;2.0
SSA_34_4;3.0
SSA_45_4;3.0
SSA_45_5;1.0
SSA_56_5;4.0
SSA_56_6;2.0
SSA_67_6;2.0
SSA_67_7;3.0
TEST RESULT;Good
Comments;
