lot_name,lot_number,wafer,row,col,pos,reticle,efuse_id,date,pass_fail,bandgap,adc_ref,ro_del,ro_inv,temp
NB1T58,22,16,10,4,0,1,1074974721,2025-06-18,0,278,8,522,5741,880
NB1T58,22,16,10,3,0,2,1074974722,2025-06-18,0,275,8,526,5647,884
NB1T58,22,16,10,2,0,3,1074974723,2025-06-18,0,278,8,525,5709,860
NB1T58,22,16,10,1,0,4,1343410180,2025-06-18,0,276,10,527,5657,859
NB1T58,22,16,10,0,0,5,1746063365,2025-06-18,0,274,13,525,5652,883
NB1T58,22,16,9,-5,0,6,1880281094,2025-06-18,0,271,14,533,5807,902
NB1T58,22,16,9,-4,0,7,808636423,2025-06-18,1,277,6,530,5954,823
NB1T58,22,16,9,-3,0,8,940757000,2025-06-18,0,276,7,529,5843,813
NB1T58,22,16,9,-2,0,9,942854153,2025-06-18,1,275,7,523,5982,835
NB1T58,22,16,9,-1,0,10,1479725066,2025-06-18,1,274,11,526,5899,827
NB1T58,22,16,9,0,0,11,1345507339,2025-06-18,1,274,10,530,6036,833
NB1T58,22,16,9,1,0,12,1748160524,2025-06-18,1,272,13,529,5854,865
NB1T58,22,16,9,2,0,13,1748160525,2025-06-18,1,272,13,526,5721,832
NB1T58,22,16,9,3,0,14,672321550,2025-06-18,0,278,5,520,5671,795
NB1T58,22,16,9,4,0,15,1479725071,2025-06-18,1,274,11,522,5597,818
NB1T58,22,16,9,5,0,16,1077071888,2025-06-18,1,276,8,527,5841,801
NB1T58,22,16,9,6,0,17,1345507345,2025-06-18,1,273,10,526,5869,838
NB1T58,22,16,9,7,0,18,942854162,2025-06-18,1,278,7,527,5988,807
NB1T58,22,16,9,8,0,19,1345507347,2025-06-18,1,274,10,528,6058,844
NB1T58,22,16,9,9,0,20,1209192468,2025-06-18,0,277,9,526,5869,827
NB1T58,22,16,8,11,0,21,1211289621,2025-06-18,1,277,9,530,6081,830
NB1T58,22,16,8,10,0,22,1345507350,2025-06-18,1,273,10,531,6127,827
NB1T58,22,16,8,9,0,23,184343,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,8,0,24,1077071896,2025-06-18,1,275,8,528,5672,840
NB1T58,22,16,8,7,0,25,184345,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,6,0,26,184346,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,5,0,27,1077071899,2025-06-18,1,272,8,532,5826,825
NB1T58,22,16,8,4,0,28,1345507356,2025-06-18,1,276,10,531,5917,844
NB1T58,22,16,8,3,0,29,942854173,2025-06-18,1,276,7,528,5609,823
NB1T58,22,16,8,2,0,30,1345507358,2025-06-18,1,273,10,529,5803,854
NB1T58,22,16,8,1,0,31,1211289631,2025-06-18,1,276,9,530,5754,827
NB1T58,22,16,8,0,0,32,1211289632,2025-06-18,1,273,9,533,5844,850
NB1T58,22,16,8,-1,0,33,184353,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,-2,0,34,1211289634,2025-06-18,1,275,9,523,5652,850
NB1T58,22,16,8,-3,0,35,1211289635,2025-06-18,1,275,9,527,5673,838
NB1T58,22,16,8,-4,0,36,184356,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,-5,0,37,1343410213,2025-06-18,0,270,10,531,5837,853
NB1T58,22,16,8,-6,0,38,184358,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,8,-7,0,39,1209192487,2025-06-18,0,273,9,533,5888,841
NB1T58,22,16,7,-8,0,40,1209192488,2025-06-18,0,273,9,530,5972,835
NB1T58,22,16,7,-7,0,41,184361,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,7,-6,0,42,184362,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,7,-5,0,43,1345507371,2025-06-18,1,278,10,528,5713,840
NB1T58,22,16,7,-4,0,44,942854188,2025-06-18,1,276,7,531,5774,855
NB1T58,22,16,7,-3,0,45,1074974765,2025-06-18,0,277,8,528,5825,847
NB1T58,22,16,7,-2,0,46,1345507374,2025-06-18,1,280,10,530,5861,837
NB1T58,22,16,7,-1,0,47,808636463,2025-06-18,1,278,6,535,5675,823
NB1T58,22,16,7,0,0,48,1211289648,2025-06-18,1,271,9,533,5946,833
NB1T58,22,16,7,1,0,49,1211289649,2025-06-18,1,276,9,536,6155,824
NB1T58,22,16,7,2,0,50,1611845682,2025-06-18,0,273,12,539,6080,870
NB1T58,22,16,7,3,0,51,184371,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,7,4,0,52,1345507380,2025-06-18,1,275,10,536,5975,826
NB1T58,22,16,7,5,0,53,184373,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,7,6,0,54,1479725110,2025-06-18,1,273,11,534,5934,842
NB1T58,22,16,7,7,0,55,1345507383,2025-06-18,1,276,10,535,5896,823
NB1T58,22,16,7,8,0,56,1613942840,2025-06-18,1,276,12,532,5716,866
NB1T58,22,16,7,9,0,57,1077071929,2025-06-18,1,277,8,531,5839,797
NB1T58,22,16,7,10,0,58,1211289658,2025-06-18,1,275,9,528,5849,814
NB1T58,22,16,7,11,0,59,1211289659,2025-06-18,1,273,9,527,5923,840
NB1T58,22,16,7,12,0,60,942854204,2025-06-18,1,274,7,532,6164,823
NB1T58,22,16,6,13,0,61,1074974781,2025-06-18,0,274,8,534,6131,836
NB1T58,22,16,6,12,0,62,1211289662,2025-06-18,1,271,9,529,6013,851
NB1T58,22,16,6,11,0,63,1882378303,2025-06-18,1,274,14,528,5882,846
NB1T58,22,16,6,10,0,64,1479725120,2025-06-18,1,272,11,530,5734,836
NB1T58,22,16,6,9,0,65,184385,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,8,0,66,1211289666,2025-06-18,1,275,9,535,5940,823
NB1T58,22,16,6,7,0,67,184387,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,6,0,68,1345507396,2025-06-18,1,273,10,539,6148,839
NB1T58,22,16,6,5,0,69,1211289669,2025-06-18,1,276,9,542,6190,813
NB1T58,22,16,6,4,0,70,1613942854,2025-06-18,1,275,12,542,6164,849
NB1T58,22,16,6,3,0,71,1211289671,2025-06-18,1,275,9,544,6480,818
NB1T58,22,16,6,2,0,72,1613942856,2025-06-18,1,275,12,544,6301,852
NB1T58,22,16,6,1,0,73,184393,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,0,0,74,1077071946,2025-06-18,1,274,8,541,6224,827
NB1T58,22,16,6,-1,0,75,1077071947,2025-06-18,1,273,8,532,5851,813
NB1T58,22,16,6,-2,0,76,1345507404,2025-06-18,1,274,10,536,5885,839
NB1T58,22,16,6,-3,0,77,1479725133,2025-06-18,1,277,11,536,5930,838
NB1T58,22,16,6,-4,0,78,184398,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,-5,0,79,942854223,2025-06-18,1,279,7,529,5728,771
NB1T58,22,16,6,-6,0,80,1613942864,2025-06-18,1,273,12,525,5793,862
NB1T58,22,16,6,-7,0,81,184401,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,-8,0,82,184402,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,6,-9,0,83,1209192531,2025-06-18,0,275,9,536,6073,876
NB1T58,22,16,5,-9,0,84,1479725140,2025-06-18,1,271,11,533,6026,889
NB1T58,22,16,5,-8,0,85,1477627989,2025-06-18,0,271,11,533,6010,869
NB1T58,22,16,5,-7,0,86,808636502,2025-06-18,1,273,6,524,5651,796
NB1T58,22,16,5,-6,0,87,1077071959,2025-06-18,1,277,8,522,5749,805
NB1T58,22,16,5,-5,0,88,1211289688,2025-06-18,1,274,9,533,6028,841
NB1T58,22,16,5,-4,0,89,808636505,2025-06-18,1,275,6,535,5833,818
NB1T58,22,16,5,-3,0,90,1211289690,2025-06-18,1,273,9,534,5817,840
NB1T58,22,16,5,-2,0,91,1077071963,2025-06-18,1,276,8,539,6159,784
NB1T58,22,16,5,-1,0,92,1077071964,2025-06-18,1,272,8,541,6261,807
NB1T58,22,16,5,0,0,93,1613942877,2025-06-18,1,276,12,543,6355,855
NB1T58,22,16,5,1,0,94,1613942878,2025-06-18,1,272,12,542,6446,858
NB1T58,22,16,5,2,0,95,184415,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,5,3,0,96,1345507424,2025-06-18,1,275,10,542,6376,846
NB1T58,22,16,5,4,0,97,942854241,2025-06-18,1,278,7,541,6341,804
NB1T58,22,16,5,5,0,98,1211289698,2025-06-18,1,274,9,540,6161,832
NB1T58,22,16,5,6,0,99,1077071971,2025-06-18,1,276,8,541,6116,820
NB1T58,22,16,5,7,0,100,1345507428,2025-06-18,1,276,10,539,5869,818
NB1T58,22,16,5,8,0,101,1345507429,2025-06-18,1,273,10,536,6039,833
NB1T58,22,16,5,9,0,102,942854246,2025-06-18,1,279,7,533,6019,834
NB1T58,22,16,5,10,0,103,1077071975,2025-06-18,1,276,8,532,5773,821
NB1T58,22,16,5,11,0,104,1345507432,2025-06-18,1,272,10,528,5834,845
NB1T58,22,16,5,12,0,105,1077071977,2025-06-18,1,274,8,529,6091,819
NB1T58,22,16,5,13,0,106,1211289706,2025-06-18,1,272,9,530,6089,860
NB1T58,22,16,4,13,0,107,1479725163,2025-06-18,1,272,11,530,6166,858
NB1T58,22,16,4,12,0,108,1211289708,2025-06-18,1,270,9,524,5872,868
NB1T58,22,16,4,11,0,109,1077071981,2025-06-18,1,273,8,530,5976,787
NB1T58,22,16,4,10,0,110,942854254,2025-06-18,1,277,7,533,5838,810
NB1T58,22,16,4,9,0,111,1345507439,2025-06-18,1,272,10,535,5893,845
NB1T58,22,16,4,8,0,112,1345507440,2025-06-18,1,273,10,534,5928,810
NB1T58,22,16,4,7,0,113,942854257,2025-06-18,1,272,7,533,6010,805
NB1T58,22,16,4,6,0,114,1613942898,2025-06-18,1,274,12,540,6039,816
NB1T58,22,16,4,5,0,115,1077071987,2025-06-18,1,278,8,545,6303,804
NB1T58,22,16,4,4,0,116,1748160628,2025-06-18,1,271,13,541,6361,848
NB1T58,22,16,4,3,0,117,1209192565,2025-06-18,0,277,9,537,6195,815
NB1T58,22,16,4,2,0,118,942854262,2025-06-18,1,277,7,536,6058,826
NB1T58,22,16,4,1,0,119,1077071991,2025-06-18,1,281,8,541,6199,838
NB1T58,22,16,4,0,0,120,1345507448,2025-06-18,1,276,10,542,6121,833
NB1T58,22,16,4,-1,0,121,1211289721,2025-06-18,1,276,9,539,6152,807
NB1T58,22,16,4,-2,0,122,1077071994,2025-06-18,1,274,8,540,5891,813
NB1T58,22,16,4,-3,0,123,1077071995,2025-06-18,1,271,8,539,5996,805
NB1T58,22,16,4,-4,0,124,1211289724,2025-06-18,1,271,9,530,5760,811
NB1T58,22,16,4,-5,0,125,942854269,2025-06-18,1,271,7,532,5903,805
NB1T58,22,16,4,-6,0,126,1211289726,2025-06-18,1,273,9,531,5874,801
NB1T58,22,16,4,-7,0,127,1077071999,2025-06-18,1,271,8,530,5851,807
NB1T58,22,16,4,-8,0,128,1748160640,2025-06-18,1,271,13,529,5822,882
NB1T58,22,16,4,-9,0,129,1479725185,2025-06-18,1,274,11,534,6033,859
NB1T58,22,16,3,-8,0,130,942854274,2025-06-18,1,275,7,532,5860,807
NB1T58,22,16,3,-7,0,131,1345507459,2025-06-18,1,274,10,531,5787,834
NB1T58,22,16,3,-6,0,132,1479725188,2025-06-18,1,268,11,528,5693,832
NB1T58,22,16,3,-5,0,133,674418821,2025-06-18,1,276,5,530,5795,828
NB1T58,22,16,3,-4,0,134,1613942918,2025-06-18,1,273,12,535,5851,826
NB1T58,22,16,3,-3,0,135,1345507463,2025-06-18,1,270,10,534,5846,827
NB1T58,22,16,3,-2,0,136,1613942920,2025-06-18,1,269,12,536,5814,853
NB1T58,22,16,3,-1,0,137,674418825,2025-06-18,1,276,5,537,5780,797
NB1T58,22,16,3,0,0,138,1345507466,2025-06-18,1,277,10,540,6087,863
NB1T58,22,16,3,1,0,139,1077072011,2025-06-18,1,272,8,541,5931,815
NB1T58,22,16,3,2,0,140,1345507468,2025-06-18,1,276,10,534,6100,811
NB1T58,22,16,3,3,0,141,1211289741,2025-06-18,1,269,9,535,5950,833
NB1T58,22,16,3,4,0,142,1479725198,2025-06-18,1,272,11,539,6275,820
NB1T58,22,16,3,5,0,143,1345507471,2025-06-18,1,275,10,537,6010,807
NB1T58,22,16,3,6,0,144,1211289744,2025-06-18,1,276,9,531,5584,819
NB1T58,22,16,3,7,0,145,184465,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,3,8,0,146,942854290,2025-06-18,1,274,7,531,5701,795
NB1T58,22,16,3,9,0,147,808636563,2025-06-18,1,277,6,530,5827,798
NB1T58,22,16,3,10,0,148,1345507476,2025-06-18,1,271,10,528,5934,835
NB1T58,22,16,3,11,0,149,184469,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,16,3,12,0,150,1613942934,2025-06-18,1,271,12,520,5742,823
NB1T58,22,16,2,11,0,151,808636567,2025-06-18,1,275,6,529,5936,808
NB1T58,22,16,2,10,0,152,1345507480,2025-06-18,1,276,10,527,5813,813
NB1T58,22,16,2,9,0,153,1345507481,2025-06-18,1,274,10,530,5801,843
NB1T58,22,16,2,8,0,154,1077072026,2025-06-18,1,274,8,532,5851,822
NB1T58,22,16,2,7,0,155,1077072027,2025-06-18,1,273,8,528,5691,808
NB1T58,22,16,2,6,0,156,1211289756,2025-06-18,1,274,9,530,5825,809
NB1T58,22,16,2,5,0,157,1211289757,2025-06-18,1,276,9,536,5855,819
NB1T58,22,16,2,4,0,158,1345507486,2025-06-18,1,272,10,533,5840,841
NB1T58,22,16,2,3,0,159,1345507487,2025-06-18,1,272,10,531,5774,825
NB1T58,22,16,2,2,0,160,1882378400,2025-06-18,1,272,14,529,5727,849
NB1T58,22,16,2,1,0,161,1345507489,2025-06-18,1,276,10,534,5728,846
NB1T58,22,16,2,0,0,162,1211289762,2025-06-18,1,279,9,535,6036,823
NB1T58,22,16,2,-1,0,163,1345507491,2025-06-18,1,274,10,535,5852,854
NB1T58,22,16,2,-2,0,164,1077072036,2025-06-18,1,274,8,533,5947,808
NB1T58,22,16,2,-3,0,165,1613942949,2025-06-18,1,273,12,533,5837,848
NB1T58,22,16,2,-4,0,166,1345507494,2025-06-18,1,272,10,528,5758,804
NB1T58,22,16,2,-5,0,167,1077072039,2025-06-18,1,274,8,527,5630,800
NB1T58,22,16,2,-6,0,168,1211289768,2025-06-18,1,270,9,529,5544,830
NB1T58,22,16,2,-7,0,169,1211289769,2025-06-18,1,270,9,530,5904,826
NB1T58,22,16,1,-4,0,170,1613942954,2025-06-18,1,273,12,529,5683,849
NB1T58,22,16,1,-3,0,171,1211289771,2025-06-18,1,275,9,526,5574,824
NB1T58,22,16,1,-2,0,172,1077072044,2025-06-18,1,273,8,528,5539,811
NB1T58,22,16,1,-1,0,173,1477628077,2025-06-18,0,274,11,526,5556,813
NB1T58,22,16,1,0,0,174,1613942958,2025-06-18,1,270,12,532,5740,799
NB1T58,22,16,1,1,0,175,1077072047,2025-06-18,1,271,8,533,5818,783
NB1T58,22,16,1,2,0,176,1211289776,2025-06-18,1,272,9,529,5801,819
NB1T58,22,16,1,3,0,177,1077072049,2025-06-18,1,276,8,526,5785,795
NB1T58,22,16,1,4,0,178,1345507506,2025-06-18,1,272,10,533,5729,822
NB1T58,22,16,1,5,0,179,1211289779,2025-06-18,1,275,9,528,5671,814
NB1T58,22,16,1,6,0,180,1211289780,2025-06-18,1,275,9,529,5745,809
NB1T58,22,16,1,7,0,181,1613942965,2025-06-18,1,270,12,529,5618,796
NB1T58,22,16,1,8,0,182,1343410358,2025-06-18,0,272,10,530,5808,814
NB1T58,22,16,0,4,0,183,1074974903,2025-06-18,0,274,8,529,5832,825
NB1T58,22,16,0,3,0,184,942854328,2025-06-18,1,273,7,528,5875,815
NB1T58,22,16,0,2,0,185,1479725241,2025-06-18,1,275,11,529,5865,808
NB1T58,22,16,0,1,0,186,1611845818,2025-06-18,0,267,12,529,5683,856
NB1T58,22,16,0,0,0,187,1479725243,2025-06-18,1,270,11,531,5800,828
NB1T58,22,5,10,4,0,1,1209189633,2025-06-18,0,274,9,524,5552,844
NB1T58,22,5,10,3,0,2,1477625090,2025-06-18,0,278,11,522,5771,879
NB1T58,22,5,10,2,0,3,1209189635,2025-06-18,0,276,9,523,5670,870
NB1T58,22,5,10,1,0,4,1074971908,2025-06-18,0,278,8,528,5821,860
NB1T58,22,5,10,0,0,5,1074971909,2025-06-18,0,277,8,524,5778,877
NB1T58,22,5,9,-5,0,6,1746060550,2025-06-18,0,271,13,532,5798,898
NB1T58,22,5,9,-4,0,7,1077069063,2025-06-18,1,274,8,528,5767,834
NB1T58,22,5,9,-3,0,8,1345504520,2025-06-18,1,274,10,526,5837,869
NB1T58,22,5,9,-2,0,9,1345504521,2025-06-18,1,274,10,524,5763,850
NB1T58,22,5,9,-1,0,10,1345504522,2025-06-18,1,275,10,525,5758,883
NB1T58,22,5,9,0,0,11,1345504523,2025-06-18,1,276,10,524,5573,848
NB1T58,22,5,9,1,0,12,1345504524,2025-06-18,1,275,10,525,5612,846
NB1T58,22,5,9,2,0,13,1345504525,2025-06-18,1,277,10,523,5914,815
NB1T58,22,5,9,3,0,14,1077069070,2025-06-18,1,277,8,521,5541,815
NB1T58,22,5,9,4,0,15,1479722255,2025-06-18,1,271,11,525,5430,851
NB1T58,22,5,9,5,0,16,1479722256,2025-06-18,1,273,11,527,5691,873
NB1T58,22,5,9,6,0,17,1613939985,2025-06-18,1,275,12,526,5720,880
NB1T58,22,5,9,7,0,18,1613939986,2025-06-18,1,271,12,524,5863,874
NB1T58,22,5,9,8,0,19,1074971923,2025-06-18,0,275,8,530,6071,833
NB1T58,22,5,9,9,0,20,181524,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,8,11,0,21,1343407381,2025-06-18,0,278,10,530,5972,874
NB1T58,22,5,8,10,0,22,1077069078,2025-06-18,1,276,8,531,6001,831
NB1T58,22,5,8,9,0,23,181527,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,8,8,0,24,1345504536,2025-06-18,1,275,10,526,5885,841
NB1T58,22,5,8,7,0,25,181529,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,8,6,0,26,181530,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,8,5,0,27,1077069083,2025-06-18,1,274,8,533,5926,848
NB1T58,22,5,8,4,0,28,1211286812,2025-06-18,1,272,9,532,6003,836
NB1T58,22,5,8,3,0,29,1211286813,2025-06-18,1,275,9,533,5962,844
NB1T58,22,5,8,2,0,30,540198174,2025-06-18,1,277,4,534,5824,815
NB1T58,22,5,8,1,0,31,808633631,2025-06-18,1,275,6,530,5847,827
NB1T58,22,5,8,0,0,32,1345504544,2025-06-18,1,272,10,528,5920,844
NB1T58,22,5,8,-1,0,33,1077069089,2025-06-18,1,274,8,522,5769,823
NB1T58,22,5,8,-2,0,34,1077069090,2025-06-18,1,274,8,525,5625,835
NB1T58,22,5,8,-3,0,35,808633635,2025-06-18,1,277,6,528,5796,826
NB1T58,22,5,8,-4,0,36,1209189668,2025-06-18,0,275,9,526,5648,862
NB1T58,22,5,8,-5,0,37,181541,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,8,-6,0,38,1077069094,2025-06-18,1,275,8,534,6169,863
NB1T58,22,5,8,-7,0,39,1209189671,2025-06-18,0,278,9,535,6038,889
NB1T58,22,5,7,-8,0,40,1211286824,2025-06-18,1,275,9,530,5983,856
NB1T58,22,5,7,-7,0,41,1211286825,2025-06-18,1,275,9,529,6022,838
NB1T58,22,5,7,-6,0,42,1077069098,2025-06-18,1,275,8,527,5887,819
NB1T58,22,5,7,-5,0,43,1211286827,2025-06-18,1,275,9,530,5738,811
NB1T58,22,5,7,-4,0,44,1077069100,2025-06-18,1,276,8,532,5831,831
NB1T58,22,5,7,-3,0,45,1343407405,2025-06-18,0,276,10,531,5641,872
NB1T58,22,5,7,-2,0,46,1613940014,2025-06-18,1,275,12,535,5832,879
NB1T58,22,5,7,-1,0,47,1479722287,2025-06-18,1,272,11,538,6127,847
NB1T58,22,5,7,0,0,48,1479722288,2025-06-18,1,274,11,537,6009,850
NB1T58,22,5,7,1,0,49,1211286833,2025-06-18,1,279,9,539,6243,838
NB1T58,22,5,7,2,0,50,1211286834,2025-06-18,1,274,9,541,6127,815
NB1T58,22,5,7,3,0,51,181555,2025-06-18,0,-1,-1,-1,-1,-1
NB1T58,22,5,7,4,0,52,942851380,2025-06-18,1,276,7,536,5951,822
NB1T58,22,5,7,5,0,53,1345504565,2025-06-18,1,274,10,532,5859,852
NB1T58,22,5,7,6,0,54,1345504566,2025-06-18,1,275,10,531,5870,856
NB1T58,22,5,7,7,0,55,1479722295,2025-06-18,1,276,11,533,5791,863
NB1T58,22,5,7,8,0,56,1077069112,2025-06-18,1,276,8,528,5800,833
NB1T58,22,5,7,9,0,57,808633657,2025-06-18,1,274,6,528,5728,812
