* RegName			Page			Addr			Defval			Value
*--------------------------------------------------------------------------------
*  Periphery register map
*--------------------------------------------------------------------------------
Sync_SEUcnt_StripBlock9			0x0			0xfc8			0x0			0x0
Sync_SEUcnt_StripBlock8			0x0			0xfc0			0x0			0x0
Sync_SEUcnt_StripBlock3			0x0			0xf98			0x0			0x0

Sync_SEUcnt_StripBlock1			0x0			0xf88			0x0			0x0
Sync_SEUcnt_StripBlock0			0x0			0xf80			0x0			0x0
Sync_SEUcnt_StripBlock7			0x0			0xfb8			0x0			0x0
Sync_SEUcnt_StripBlock6			0x0			0xfb0			0x0			0x0
Sync_SEUcnt_StripBlock5			0x0			0xfa8			0x0			0x0
Sync_SEUcnt_StripBlock4			0x0			0xfa0			0x0			0x0
ADC_control			0x0			0x1039			0x0			0x0




Bias_D5DAC8			0x0			0x102C			0xf			0xf
Bias_D5DLLB			0x0			0x102B			0xf			0xf
Bias_D5TDR			0x0			0x1028			0xf			0xf
Bias_D5PREAMP			0x0			0x1027			0xf			0xf
Bias_D5BFEED			0x0			0x1026			0xf			0xf
Bias_D5ALLV			0x0			0x1029			0xf			0xf
Bias_D5ALLI			0x0			0x102A			0xf			0xf

Bias_THDAC			0x0			0x1020			0x23			0x3c
Bias_TEST_msb			0x0			0x1024			0x0			0x0
Bias_TEST_lsb			0x0			0x1023			0x0			0x0
Bias_THDACHIGH			0x0			0x1021			0x78			0x78
Bias_CALDAC			0x0			0x1022			0x32			0x46

bist_memory_sram_output_L_B			0x0			0x106B			0x0			0x0
LateralRX_sampling			0x0			0x1008			0xdd			0xff
mask_strip			0x0			0x0DFF			0x0			0x0
Fuse_Prog_b3			0x0			0x1038			0x0			0x0
Fuse_Prog_b2			0x0			0x1037			0x0			0x0
Fuse_Prog_b1			0x0			0x1036			0x0			0x0
Fuse_Prog_b0			0x0			0x1035			0x0			0x0
bist_memory_sram_mode			0x0			0x1019			0x0			0x0
output_inv_ctrl_S			0x0			0x101B			0x0			0x0
Async_SEUcnt_StripBlock8			0x0			0xec0			0x0			0x0

Config_HitDelay			0x0			0x101C			0x1			0x1

ADC_trimming			0x0			0x103A			0x20			0x20
bist_memory_sram_output_H_6			0x0			0x1066			0x0			0x0
Async_SEUcnt_StripBlock3			0x0			0xe98			0x0			0x0
Async_SEUcnt_StripBlock2			0x0			0xe90			0x0			0x0
Async_SEUcnt_StripBlock1			0x0			0xe88			0x0			0x0
Async_SEUcnt_StripBlock0			0x0			0xe80			0x0			0x0
Async_SEUcnt_StripBlock7			0x0			0xeb8			0x0			0x0
Async_SEUcnt_StripBlock6			0x0			0xeb0			0x0			0x0
Async_SEUcnt_StripBlock5			0x0			0xea8			0x0			0x0
Async_SEUcnt_StripBlock4			0x0			0xea0			0x0			0x0
Sync_SEUcnt_StripBlock11			0x0			0xfd8			0x0			0x0
bist_memory_sram_output_H_2			0x0			0x1062			0x0			0x0
Sync_SEUcnt_StripBlock14			0x0			0xff0			0x0			0x0
AsyncRead_StartDel_MSB			0x0			0x1007			0x3b			0x0
AsyncRead_StartDel_LSB			0x0			0x1006			0xf2			0x8
Fuse_Mode			0x0			0x1034			0x0			0x0
SLVS_pad_current_L1					0x0			0x1033			0x7			0x04
SLVS_pad_current_Lateral			0x0			0x102D			0xE4			0xE4
SLVS_pad_current_Stub_0_1			0x0			0x102E			0x0			0x77
SLVS_pad_current_Stub_2_3			0x0			0x102F			0x0			0x77
SLVS_pad_current_Stub_4_5			0x0			0x1030			0x0			0x77
SLVS_pad_current_Stub_6_7			0x0			0x1031			0x0			0x77
SLVS_pad_current_Clk_T1			0x0			0x1032			0x24			0x24
bist_memory_sram_start			0x0			0x101A			0x0			0x0
Sync_SEUcnt_StripBlock2			0x0			0xf90			0x0			0x0
Ring_oscillator_ctrl			0x0			0x1000			0x0			0x0
Sync_SEUcnt_StripBlock13			0x0			0xfe8			0x0			0x0
bist_output			0x0			0x1049			0x0			0x0
ClockDeskewing_coarse			0x0			0x1004			0x0			0x0
bist_memory_latch_ctrl			0x0			0x1018			0x64			0x64
control_3			0x0			0x1003			0xc3			0x28
control_2			0x0			0x1002			0x85			0x85
control_1			0x0			0x1001			0x18			0x18
Async_SEUcnt_StripBlock9			0x0			0xec8			0x0			0x0
Sync_SEUcnt_StripBlock12			0x0			0xfe0			0x0			0x0
Shift_pattern_st_6_st_7			0x0			0x100E			0x80			0x80

ClkTree_control			0x0			0x1016			0x57			0x57
status_reg			0x0			0x1040			0x0			0x0
Fuse_Value_b2			0x0			0x1047			0x0			0x0
Ring_oscillator_out_locTR_T1_H			0x0			0x1051			0x0			0x0
Ring_oscillator_out_locTR_T1_L			0x0			0x1050			0x0			0x0
Sync_SEUcnt_StripBlock10			0x0			0xfd0			0x0			0x0
CLuster_Overflow_Cnt_H			0x0			0x1042			0x0			0x0
CLuster_Overflow_Cnt_L			0x0			0x1041			0x0			0x0
Ring_oscillator_out_locBL_T1_H			0x0			0x1059			0x0			0x0
Ring_oscillator_out_locBL_T1_L			0x0			0x1058			0x0			0x0
ADC_IREF			0x0			0x103C			0x0			0x0
L1_FIFO_Overflow_Cnt_L			0x0			0x1043			0x0			0x0
L1_FIFO_Overflow_Cnt_H			0x0			0x1044			0x0			0x0
Ring_oscillator_out_locBR_T1_H			0x0			0x104D			0x0			0x0
Ring_oscillator_out_locBR_T1_L			0x0			0x104C			0x0			0x0
bist_memory_sram_output_L_C			0x0			0x106C			0x0			0x0
StripOffset_byte1			0x0			0x1013			0x0			0x0
StripOffset_byte0			0x0			0x1012			0x0			0x0
StripOffset_byte3			0x0			0x1015			0x0			0x0
StripOffset_byte2			0x0			0x1014			0x0			0x0
ClockDeskewing_fine			0x0			0x1005			0x91			0x90

bist_memory_sram_output_L_9			0x0			0x1069			0x0			0x0
Shift_pattern_Right			0x0			0x1010			0x80			0x80
Fuse_Value_b3			0x0			0x1048			0x0			0x0
Ring_oscillator_out_locBC_T1_L			0x0			0x1054			0x0			0x0
Fuse_Value_b1			0x0			0x1046			0x0			0x0
Fuse_Value_b0			0x0			0x1045			0x0			0x0
Ring_oscillator_out_locBC_T1_H			0x0			0x1055			0x0			0x0
bist_memory_sram_output_L_8			0x0			0x1068			0x0			0x0
Sync_SEUcnt_blk1			0x0			0x103F			0x0			0x0
bist_memory_sram_output_L_6			0x0			0x1066			0x0			0x0

Shift_pattern_st_4_st_5			0x0			0x100D			0x80			0x80
bist_memory_sram_output_L_1			0x0			0x1061			0x0			0x0
bist_memory_sram_output_L_0			0x0			0x1060			0x0			0x0
bist_memory_sram_output_L_3			0x0			0x1063			0x0			0x0
bist_memory_sram_output_L_2			0x0			0x1062			0x0			0x0
bist_memory_sram_output_L_5			0x0			0x1065			0x0			0x0
bist_memory_sram_output_L_4			0x0			0x1064			0x0			0x0
bist_memory_sram_output_L_7			0x0			0x1067			0x0			0x0

Shift_pattern_st_0			0x0			0x1009			0x80			0x80
Shift_pattern_st_1			0x0			0x100A			0x80			0x80
Shift_pattern_st_2			0x0			0x100B			0x80			0x80
Shift_pattern_st_3			0x0			0x100C			0x80			0x80

Ring_oscillator_out_locBR_T2_L			0x0			0x104E			0x0			0x0
mask_peri_A			0x0			0x103D			0x0			0x0
ADC_out_H			0x0			0x104B			0x0			0x0
Ring_oscillator_out_locBR_T2_H			0x0			0x104F			0x0			0x0
mask_peri_D			0x0			0x101D			0x0			0x0
Async_SEUcnt_blk0			0x0			0x101E			0x0			0x0
Async_SEUcnt_blk1			0x0			0x103E			0x0			0x0
Ring_oscillator_out_locBL_T2_L			0x0			0x105A			0x0			0x0
bist_memory_sram_output_H_9			0x0			0x1069			0x0			0x0
bist_memory_sram_output_H_8			0x0			0x1068			0x0			0x0
Ring_oscillator_out_locBL_T2_H			0x0			0x105B			0x0			0x0
bist_memory_sram_output_H_5			0x0			0x1065			0x0			0x0
bist_memory_sram_output_H_4			0x0			0x1064			0x0			0x0
bist_memory_sram_output_H_7			0x0			0x1067			0x0			0x0
Ring_oscillator_out_locTR_T2_L			0x0			0x1052			0x0			0x0
bist_memory_sram_output_H_1			0x0			0x1061			0x0			0x0
bist_memory_sram_output_H_0			0x0			0x1060			0x0			0x0
bist_memory_sram_output_H_3			0x0			0x1063			0x0			0x0
Ring_oscillator_out_locTR_T2_H			0x0			0x1053			0x0			0x0
Shift_pattern_Left			0x0			0x100F			0x80			0x80
bist_memory_sram_output_H_E			0x0			0x106E			0x0			0x0
bist_memory_sram_output_H_D			0x0			0x106D			0x0			0x0
bist_memory_sram_output_H_F			0x0			0x106F			0x0			0x0
bist_memory_sram_output_H_A			0x0			0x106A			0x0			0x0
bist_memory_sram_output_H_C			0x0			0x106C			0x0			0x0
bist_memory_sram_output_H_B			0x0			0x106B			0x0			0x0
ClkTreeMagicNumber			0x0			0x1017			0xaa			0xaa

Shift_pattern_L1			0x0			0x1011			0x80			0x80
bist_memory_sram_output_L_A			0x0			0x106A			0x0			0x0
Ring_oscillator_out_locBC_T2_H			0x0			0x1057			0x0			0x0
configuration_test			0x0			0x103C			0x0			0x0
bist_memory_sram_output_L_E			0x0			0x106E			0x0			0x0
bist_memory_sram_output_L_D			0x0			0x106D			0x0			0x0
Ring_oscillator_out_locBC_T2_L			0x0			0x1056			0x0			0x0
bist_memory_sram_output_L_F			0x0			0x106F			0x0			0x0
Sync_SEUcnt_blk0			0x0			0x101F			0x0			0x0
ADC_out_L			0x0			0x104A			0x0			0x0
ADC_VREF			0x0			0x103B			0x0F			0x0F
Delay_line			0x0			0x1025			0x0			0x0
Async_SEUcnt_StripBlock14			0x0			0xef0			0x0			0x0
Async_SEUcnt_StripBlock13			0x0			0xee8			0x0			0x0
Async_SEUcnt_StripBlock12			0x0			0xee0			0x0			0x0
Async_SEUcnt_StripBlock11			0x0			0xed8			0x0			0x0
Async_SEUcnt_StripBlock10			0x0			0xed0			0x0			0x0
*--------------------------------------------------------------------------------
*  Strip register map
*--------------------------------------------------------------------------------
ENFLAGS			            0x0			0x07f			0x5			0x1
StripControl2			    0x0			0x17f			0x1			0x1
THTRIMMING			        0x0			0x27f			0xf			0xf
DigCalibPattern_L			0x0			0x37f			0xff		0xff
DigCalibPattern_H			0x0			0x47f			0xff		0xff
AC_ReadCounterLSB			0x0			0x57f			0x0			0x0
AC_ReadCounterMSB			0x0			0x67f			0x0			0x0
*--------------------------------------------------------------------------------
*  Individual Strip register map
*--------------------------------------------------------------------------------
AC_ReadCounterLSB_S1			0x0			0x500			0x0			0x0
AC_ReadCounterLSB_S2			0x0			0x501			0x0			0x0
AC_ReadCounterLSB_S3			0x0			0x502			0x0			0x0
AC_ReadCounterLSB_S4			0x0			0x503			0x0			0x0
AC_ReadCounterLSB_S5			0x0			0x504			0x0			0x0
AC_ReadCounterLSB_S6			0x0			0x505			0x0			0x0
AC_ReadCounterLSB_S7			0x0			0x506			0x0			0x0
AC_ReadCounterLSB_S8			0x0			0x507			0x0			0x0
AC_ReadCounterLSB_S9			0x0			0x508			0x0			0x0
AC_ReadCounterLSB_S10			0x0			0x509			0x0			0x0
AC_ReadCounterLSB_S11			0x0			0x50a			0x0			0x0
AC_ReadCounterLSB_S12			0x0			0x50b			0x0			0x0
AC_ReadCounterLSB_S13			0x0			0x50c			0x0			0x0
AC_ReadCounterLSB_S14			0x0			0x50d			0x0			0x0
AC_ReadCounterLSB_S15			0x0			0x50e			0x0			0x0
AC_ReadCounterLSB_S16			0x0			0x50f			0x0			0x0
AC_ReadCounterLSB_S17			0x0			0x510			0x0			0x0
AC_ReadCounterLSB_S18			0x0			0x511			0x0			0x0
AC_ReadCounterLSB_S19			0x0			0x512			0x0			0x0
AC_ReadCounterLSB_S20			0x0			0x513			0x0			0x0
AC_ReadCounterLSB_S21			0x0			0x514			0x0			0x0
AC_ReadCounterLSB_S22			0x0			0x515			0x0			0x0
AC_ReadCounterLSB_S23			0x0			0x516			0x0			0x0
AC_ReadCounterLSB_S24			0x0			0x517			0x0			0x0
AC_ReadCounterLSB_S25			0x0			0x518			0x0			0x0
AC_ReadCounterLSB_S26			0x0			0x519			0x0			0x0
AC_ReadCounterLSB_S27			0x0			0x51a			0x0			0x0
AC_ReadCounterLSB_S28			0x0			0x51b			0x0			0x0
AC_ReadCounterLSB_S29			0x0			0x51c			0x0			0x0
AC_ReadCounterLSB_S30			0x0			0x51d			0x0			0x0
AC_ReadCounterLSB_S31			0x0			0x51e			0x0			0x0
AC_ReadCounterLSB_S32			0x0			0x51f			0x0			0x0
AC_ReadCounterLSB_S33			0x0			0x520			0x0			0x0
AC_ReadCounterLSB_S34			0x0			0x521			0x0			0x0
AC_ReadCounterLSB_S35			0x0			0x522			0x0			0x0
AC_ReadCounterLSB_S36			0x0			0x523			0x0			0x0
AC_ReadCounterLSB_S37			0x0			0x524			0x0			0x0
AC_ReadCounterLSB_S38			0x0			0x525			0x0			0x0
AC_ReadCounterLSB_S39			0x0			0x526			0x0			0x0
AC_ReadCounterLSB_S40			0x0			0x527			0x0			0x0
AC_ReadCounterLSB_S41			0x0			0x528			0x0			0x0
AC_ReadCounterLSB_S42			0x0			0x529			0x0			0x0
AC_ReadCounterLSB_S43			0x0			0x52a			0x0			0x0
AC_ReadCounterLSB_S44			0x0			0x52b			0x0			0x0
AC_ReadCounterLSB_S45			0x0			0x52c			0x0			0x0
AC_ReadCounterLSB_S46			0x0			0x52d			0x0			0x0
AC_ReadCounterLSB_S47			0x0			0x52e			0x0			0x0
AC_ReadCounterLSB_S48			0x0			0x52f			0x0			0x0
AC_ReadCounterLSB_S49			0x0			0x530			0x0			0x0
AC_ReadCounterLSB_S50			0x0			0x531			0x0			0x0
AC_ReadCounterLSB_S51			0x0			0x532			0x0			0x0
AC_ReadCounterLSB_S52			0x0			0x533			0x0			0x0
AC_ReadCounterLSB_S53			0x0			0x534			0x0			0x0
AC_ReadCounterLSB_S54			0x0			0x535			0x0			0x0
AC_ReadCounterLSB_S55			0x0			0x536			0x0			0x0
AC_ReadCounterLSB_S56			0x0			0x537			0x0			0x0
AC_ReadCounterLSB_S57			0x0			0x538			0x0			0x0
AC_ReadCounterLSB_S58			0x0			0x539			0x0			0x0
AC_ReadCounterLSB_S59			0x0			0x53a			0x0			0x0
AC_ReadCounterLSB_S60			0x0			0x53b			0x0			0x0
AC_ReadCounterLSB_S61			0x0			0x53c			0x0			0x0
AC_ReadCounterLSB_S62			0x0			0x53d			0x0			0x0
AC_ReadCounterLSB_S63			0x0			0x53e			0x0			0x0
AC_ReadCounterLSB_S64			0x0			0x53f			0x0			0x0
AC_ReadCounterLSB_S65			0x0			0x540			0x0			0x0
AC_ReadCounterLSB_S66			0x0			0x541			0x0			0x0
AC_ReadCounterLSB_S67			0x0			0x542			0x0			0x0
AC_ReadCounterLSB_S68			0x0			0x543			0x0			0x0
AC_ReadCounterLSB_S69			0x0			0x544			0x0			0x0
AC_ReadCounterLSB_S70			0x0			0x545			0x0			0x0
AC_ReadCounterLSB_S71			0x0			0x546			0x0			0x0
AC_ReadCounterLSB_S72			0x0			0x547			0x0			0x0
AC_ReadCounterLSB_S73			0x0			0x548			0x0			0x0
AC_ReadCounterLSB_S74			0x0			0x549			0x0			0x0
AC_ReadCounterLSB_S75			0x0			0x54a			0x0			0x0
AC_ReadCounterLSB_S76			0x0			0x54b			0x0			0x0
AC_ReadCounterLSB_S77			0x0			0x54c			0x0			0x0
AC_ReadCounterLSB_S78			0x0			0x54d			0x0			0x0
AC_ReadCounterLSB_S79			0x0			0x54e			0x0			0x0
AC_ReadCounterLSB_S80			0x0			0x54f			0x0			0x0
AC_ReadCounterLSB_S81			0x0			0x550			0x0			0x0
AC_ReadCounterLSB_S82			0x0			0x551			0x0			0x0
AC_ReadCounterLSB_S83			0x0			0x552			0x0			0x0
AC_ReadCounterLSB_S84			0x0			0x553			0x0			0x0
AC_ReadCounterLSB_S85			0x0			0x554			0x0			0x0
AC_ReadCounterLSB_S86			0x0			0x555			0x0			0x0
AC_ReadCounterLSB_S87			0x0			0x556			0x0			0x0
AC_ReadCounterLSB_S88			0x0			0x557			0x0			0x0
AC_ReadCounterLSB_S89			0x0			0x558			0x0			0x0
AC_ReadCounterLSB_S90			0x0			0x559			0x0			0x0
AC_ReadCounterLSB_S91			0x0			0x55a			0x0			0x0
